"city","city_ascii","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"North Puyallup","North Puyallup","WA","Washington","53053","Pierce","53053","Pierce","47.2015","-122.2742","1848","684","polygon","FALSE","FALSE","America/Los_Angeles","3","98372","1840037690"
"Pacific Beach","Pacific Beach","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","47.2150","-124.1967","538","171","polygon","FALSE","FALSE","America/Los_Angeles","3","98571","1840023817"
"Manson","Manson","WA","Washington","53007","Chelan","53007","Chelan","47.8858","-120.1563","1532","472","polygon","FALSE","FALSE","America/Los_Angeles","3","98831","1840025246"
"Brewster","Brewster","WA","Washington","53047","Okanogan","53047","Okanogan","48.1034","-119.7751","2343","785","polygon","FALSE","TRUE","America/Los_Angeles","3","98812","1840018359"
"Battle Ground","Battle Ground","WA","Washington","53011","Clark","53011","Clark","45.7764","-122.5413","20576","938","polygon","FALSE","TRUE","America/Los_Angeles","3","98604","1840018523"
"Shoreline","Shoreline","WA","Washington","53033","King","53033","King","47.7564","-122.3426","56189","1864","polygon","FALSE","TRUE","America/Los_Angeles","3","98155 98177 98133 98160","1840021118"
"Cosmopolis","Cosmopolis","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","46.9541","-123.7725","1624","452","polygon","FALSE","TRUE","America/Los_Angeles","3","98520 98563 98537","1840018448"
"Airway Heights","Airway Heights","WA","Washington","53063","Spokane","53063","Spokane","47.6459","-117.5792","8166","524","polygon","FALSE","TRUE","America/Los_Angeles","3","99224 99001","1840018399"
"Grandview","Grandview","WA","Washington","53077","Yakima","53077","Yakima","46.2431","-119.9084","18858.0","670","polygon","FALSE","TRUE","America/Los_Angeles","3","98935 98930","1840019871"
"Inchelium","Inchelium","WA","Washington","53019","Ferry","53019","Ferry","48.3378","-118.2372","413","6","polygon","FALSE","FALSE","America/Los_Angeles","3","99138","1840017307"
"Grand Coulee","Grand Coulee","WA","Washington","53025","Grant","53025","Grant","47.9391","-119.0031","1042","330","polygon","FALSE","TRUE","America/Los_Angeles","3","99133","1840019815"
"Union","Union","WA","Washington","53045","Mason","53045","Mason","47.3475","-123.0952","272","64","polygon","FALSE","FALSE","America/Los_Angeles","3","98592","1840025253"
"Torboy","Torboy","WA","Washington","53019","Ferry","53019","Ferry","48.6772","-118.6689","48","19","polygon","FALSE","FALSE","America/Los_Angeles","3","99166","1840026090"
"Kelso","Kelso","WA","Washington","53015","Cowlitz","53015","Cowlitz","46.1248","-122.8909","12130","580","polygon","FALSE","TRUE","America/Los_Angeles","3","98626 98632","1840018503"
"Westport","Westport","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","46.8919","-124.1120","2051","214","polygon","FALSE","TRUE","America/Los_Angeles","3","98595","1840021124"
"Junction City","Junction City","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","46.9713","-123.7651","10","2","polygon","FALSE","FALSE","America/Los_Angeles","3","98520","1840017362"
"Lake Ketchum","Lake Ketchum","WA","Washington","53061","Snohomish","53061","Snohomish","48.2820","-122.3480","894","166","polygon","FALSE","FALSE","America/Los_Angeles","3","98292","1840037852"
"West Pasco","West Pasco","WA","Washington","53021","Franklin","53021","Franklin","46.2497","-119.1684","1233","280","polygon","FALSE","FALSE","America/Los_Angeles","3","99301","1840037891"
"Des Moines","Des Moines","WA","Washington","53033","King","53033","King","47.3914","-122.3154","31238","1875","polygon","FALSE","TRUE","America/Los_Angeles","3","98148 98198","1840018426"
"Davenport","Davenport","WA","Washington","53043","Lincoln","53043","Lincoln","47.6551","-118.1519","1708","395","polygon","FALSE","TRUE","America/Los_Angeles","3","99122","1840018404"
