Wedding Vendor Categories
Wedding Venue
Wedding Catering
Wedding Planner
Wedding Photographer
Wedding Videographer
Florist
Entertainment (DJ/Band)
Officiant
Attire (bridal salon, tuxedo rental)
Beauty (hair and makeup artists)
Wedding Bakery
Stationery designer
Rentals (furniture, tableware, linens)
Transportation
Jeweler
Decor specialist
Bar services and beverages
Invitations and paper goods
Photo booth
Lighting company
Wedding insurance provider
Dance lessons provider
Hotel room blocks coordinator
Travel specialist
Favors and gifts supplier
Rehearsal dinner venue
Bridal shower and party planners
Specialty services
Calligrapher
Wedding childcare service
